item
Alcoholic Beverages
Animal fats
Apples and products
"Aquatic Animals, Others"
Aquatic Plants
"Aquatic Products, Other"
Bananas
Barley and products
Beans
Beer
"Beverages, Alcoholic"
"Beverages, Fermented"
Bovine Meat
"Butter, Ghee"
Cassava and products
Cephalopods
Cereals - Excluding Beer
"Cereals, Other"
"Citrus, Other"
Cloves
Cocoa Beans and products
Coconut Oil
Coconuts - Incl Copra
Coffee and products
Cottonseed
Cottonseed Oil
Cream
Crustaceans
Dates
Demersal Fish
Eggs
"Fats, Animals, Raw"
"Fish, Body Oil"
"Fish, Liver Oil"
"Fish, Seafood"
Freshwater Fish
Fruits - Excluding Wine
"Fruits, Other"
Grapefruit and products
Grapes and products (excl wine)
Groundnut Oil
Groundnuts (Shelled Eq)
Honey
"Lemons, Limes and products"
Maize Germ Oil
Maize and products
"Marine Fish, Other"
Meat
"Meat, Other"
Milk - Excluding Butter
Millet and products
"Molluscs, Other"
Mutton & Goat Meat
Nuts and products
Oats
Offals
"Offals, Edible"
Oilcrops
"Oilcrops Oil, Other"
"Oilcrops, Other"
Olive Oil
Olives (including preserved)
Onions
"Oranges, Mandarines"
Palm Oil
Palmkernel Oil
Peas
Pelagic Fish
Pepper
Pigmeat
Pimento
Pineapples and products
Plantains
Potatoes and products
Poultry Meat
Pulses
"Pulses, Other and products"
Rape and Mustard Oil
Rape and Mustardseed
Rice (Milled Equivalent)
"Roots, Other"
Rye and products
Sesame seed
Sorghum and products
Soyabean Oil
Soyabeans
Spices
"Spices, Other"
Starchy Roots
Stimulants
Sugar & Sweeteners
Sugar (Raw Equivalent)
Sunflower seed
Sunflowerseed Oil
Sweet potatoes
"Sweeteners, Other"
Tea (including mate)
Tomatoes and products
Treenuts
Vegetable Oils
Vegetables
"Vegetables, Other"
Wheat and products
Wine
Yams
